TIMESTAMP,NOM_TILT,ANGLE_X,ANGLE_Y,ANGLE_Z,TEMPERATURE,INTENSITE_SIGNAL,SIGMA
"2020-3-13 10:51:40",0A000054, 86.814, -1.3713, -2.8764, 8.62, -75, 0
"2020-3-13 11:01:40",0A000054, 86.8138, -1.3692, -2.8773, 9.47, -76, 0
"2020-3-13 11:11:41",0A000054, 86.8158, -1.3681, -2.8756, 9.9, -76, 0
"2020-3-13 11:21:41",0A000054, 86.8199, -1.3656, -2.8718, 10.65, -74, 0
"2020-3-13 11:31:42",0A000054, 86.8191, -1.357, -2.8767, 12.11, -77, 0
"2020-3-13 11:41:42",0A000054, 86.8281, -1.352, -2.8684, 13.61, -72, 0
"2020-3-13 11:51:49",0A000054, 86.8255, -1.3499, -2.8721, 13.86, -79, 0
"2020-3-13 12:01:43",0A000054, 86.8285, -1.3496, -2.8688, 13.8, -75, 0
"2020-3-13 12:11:44",0A000054, 86.8302, -1.35, -2.8667, 14.08, -80, 0
"2020-3-13 12:21:44",0A000054, 86.8375, -1.3434, -2.8626, 16.02, -74, 0
"2020-3-13 12:31:45",0A000054, 86.8421, -1.3293, -2.8639, 18.53, -82, 0
"2020-3-13 12:41:45",0A000054, 86.8488, -1.3293, -2.8576, 18.91, -79, 0
"2020-3-13 12:51:46",0A000054, 86.8532, -1.3342, -2.8509, 18.32, -77, 0
"2020-3-13 13:01:46",0A000054, 86.8528, -1.3321, -2.8524, 18.19, -80, 0
"2020-3-13 13:11:47",0A000054, 86.8581, -1.3293, -2.8476, 19.08, -79, 0
"2020-3-13 13:21:47",0A000054, 86.8603, -1.3201, -2.8488, 20.73, -76, 0
"2020-3-13 13:31:48",0A000054, 86.8599, -1.3261, -2.8467, 19.26, -75, 0
"2020-3-13 13:41:48",0A000054, 86.859, -1.3321, -2.8449, 17.96, -76, 0
"2020-3-13 13:51:49",0A000054, 86.8614, -1.3339, -2.8409, 17.69, -79, 0
"2020-3-13 14:01:50",0A000054, 86.8586, -1.3361, -2.8436, 16.56, -75, 0
"2020-3-13 14:11:50",0A000054, 86.864, -1.3221, -2.843, 19.48, -81, 0
"2020-3-13 14:21:51",0A000054, 86.8658, -1.3234, -2.8403, 19.41, -79, 0
"2020-3-13 14:31:51",0A000054, 86.8652, -1.3222, -2.8414, 19.33, -82, 0
"2020-3-13 14:41:52",0A000054, 86.8657, -1.3233, -2.8406, 18.58, -82, 0
"2020-3-13 14:51:52",0A000054, 86.8643, -1.3259, -2.841, 17.91, -79, 0
"2020-3-13 15:01:53",0A000054, 86.8642, -1.3287, -2.8399, 17.2, -87, 0
"2020-3-13 15:11:53",0A000054, 86.8637, -1.3316, -2.839, 16.46, -81, 0
"2020-3-13 15:21:54",0A000054, 86.8632, -1.3332, -2.8388, 15.93, -85, 0
"2020-3-13 15:31:54",0A000054, 86.8646, -1.3358, -2.8363, 15.57, -82, 0
"2020-3-13 15:41:55",0A000054, 86.8612, -1.3337, -2.8412, 15.27, -88, 0
"2020-3-13 15:51:55",0A000054, 86.8602, -1.3369, -2.8411, 14.93, -88, 0
"2020-3-13 16:01:56",0A000054, 86.8606, -1.3353, -2.8412, 14.75, -87, 0
"2020-3-13 16:11:56",0A000054, 86.8619, -1.3392, -2.8378, 14.52, -81, 0
"2020-3-13 16:21:57",0A000054, 86.8591, -1.3384, -2.8417, 14.15, -88, 0
"2020-3-13 16:31:57",0A000054, 86.8585, -1.3389, -2.8424, 13.68, -95, 0
"2020-3-13 16:41:58",0A000054, 86.8567, -1.3412, -2.8435, 13.53, -85, 0
"2020-3-13 16:51:58",0A000054, 86.8563, -1.3413, -2.8441, 13.47, -86, 0
"2020-3-13 17:01:59",0A000054, 86.8561, -1.3422, -2.8439, 13.14, -82, 0
"2020-3-13 17:11:59",0A000054, 86.8554, -1.3436, -2.8441, 12.89, -91, 0
"2020-3-13 17:22:00",0A000054, 86.8578, -1.345, -2.8403, 12.82, -91, 0
"2020-3-13 17:32:00",0A000054, 86.8542, -1.344, -2.8453, 12.68, -80, 0.0053
"2020-3-13 17:42:01",0A000054, 86.8561, -1.3463, -2.8418, 12.47, -85, 0.0053
